run_id,seed,scenario_id,fault_type,fault_active,fault_severity,gNb_num,ue_per_gNb,effective_lambda_ull,effective_lambda_be,flow_id,src_ip,dst_ip,protocol,src_port,dst_port,tx_packets,rx_packets,lost_packets,undelivered_packets,tx_bytes,rx_bytes,throughput_mbps,mean_delay_ms,mean_jitter_ms,packet_loss_ratio,undelivered_ratio,time_first_tx_s,time_last_rx_s,flow_duration_s,sim_time_s,source_file
5,1,radio_degradation_s1,radio_degradation,1,1,1,2,10000,10000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,6000,1565,0,4435,768000,200320,2.672178,222.1664,0.28588,0.0,0.739167,0.4,0.999721,0.599721,1.0,seed1_run5_radio_degradation_s1.csv
5,1,radio_degradation_s1,radio_degradation,1,1,1,2,10000,10000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,6000,309,0,5691,7680000,395520,5.275076,285.963231,1.838312,0.0,0.9485,0.4,0.999832,0.599832,1.0,seed1_run5_radio_degradation_s1.csv
5,1,radio_degradation_s2,radio_degradation,1,2,1,2,10000,10000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,6000,833,0,5167,768000,106624,1.422019,258.808905,0.619576,0.0,0.861167,0.4,0.999846,0.599846,1.0,seed1_run5_radio_degradation_s2.csv
5,1,radio_degradation_s2,radio_degradation,1,2,1,2,10000,10000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,6000,150,0,5850,7680000,192000,2.571434,293.566426,3.866443,0.0,0.975,0.4,0.997332,0.597332,1.0,seed1_run5_radio_degradation_s2.csv
5,1,radio_degradation_s3,radio_degradation,1,3,1,2,10000,10000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,6000,610,0,5390,768000,78080,1.042747,270.026583,0.881117,0.0,0.898333,0.4,0.999033,0.599033,1.0,seed1_run5_radio_degradation_s3.csv
5,1,radio_degradation_s3,radio_degradation,1,3,1,2,10000,10000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,6000,76,0,5924,7680000,97280,1.306179,299.583785,7.703095,0.0,0.987333,0.4,0.995814,0.595814,1.0,seed1_run5_radio_degradation_s3.csv
5,1,traffic_overload_s1,traffic_overload,1,1,1,2,20000,20000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,12000,10883,0,1117,1536000,1393024,18.574566,28.278269,0.016967,0.0,0.093083,0.4,0.999971,0.599971,1.0,seed1_run5_traffic_overload_s1.csv
5,1,traffic_overload_s1,traffic_overload,1,1,1,2,20000,20000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,12000,1765,0,10235,15360000,2259200,30.131096,257.089516,0.288577,0.0,0.852917,0.4,0.999832,0.599832,1.0,seed1_run5_traffic_overload_s1.csv
5,1,traffic_overload_s2,traffic_overload,1,2,1,2,40000,40000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,24000,10883,0,13117,3072000,1393024,18.574566,164.303269,0.036026,0.0,0.546542,0.4,0.999971,0.599971,1.0,seed1_run5_traffic_overload_s2.csv
5,1,traffic_overload_s2,traffic_overload,1,2,1,2,40000,40000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,24000,1765,0,22235,30720000,2259200,30.131096,279.139516,0.313577,0.0,0.926458,0.4,0.999832,0.599832,1.0,seed1_run5_traffic_overload_s2.csv
5,1,traffic_overload_s3,traffic_overload,1,3,1,2,60000,60000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,36000,10883,0,25117,4608000,1393024,18.574566,209.643122,0.042379,0.0,0.697694,0.4,0.999971,0.599971,1.0,seed1_run5_traffic_overload_s3.csv
5,1,traffic_overload_s3,traffic_overload,1,3,1,2,60000,60000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,36000,1765,0,34235,46080000,2259200,30.131096,286.489222,0.32191,0.0,0.950972,0.4,0.999832,0.599832,1.0,seed1_run5_traffic_overload_s3.csv
6,1,none,none,0,0,1,2,10000,10000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,6000,5997,0,3,768000,767616,10.236982,0.28945,0.030042,0.0,0.0005,0.4,0.999877,0.599877,1.0,seed1_run6_none.csv
6,1,none,none,0,0,1,2,10000,10000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,6000,5990,0,10,7680000,7667200,102.27621,0.900967,0.119927,0.0,0.001667,0.4,0.999725,0.599725,1.0,seed1_run6_none.csv
6,1,radio_degradation_s1,radio_degradation,1,1,1,2,10000,10000,1,1.0.0.2,7.0.0.2,UDP,49153,1234,6000,5996,0,4,768000,767488,10.234742,0.389798,0.031691,0.0,0.000667,0.4,0.999908,0.599908,1.0,seed1_run6_radio_degradation_s1.csv
6,1,radio_degradation_s1,radio_degradation,1,1,1,2,10000,10000,2,1.0.0.2,7.0.0.3,UDP,49154,1235,6000,5990,0,10,7680000,7667200,102.27621,0.900967,0.119927,0.0,0.001667,0.4,0.999725,0.599725,1.0,seed1_run6_radio_degradation_s1.csv
